date	open	high	low	close	volume	value
1999-04-13	14950	14990	14940	14950	5168	28452
1999-04-14	15230	15350	15140	15150	11420	25624
1999-04-15	15200	15300	15200	15260	4068	17344
1999-04-16	15550	15550	15440	15530	16980	19286
1999-04-19	15590	15600	15400	15410	12370	19932
1999-04-20	15600	15670	15550	15620	25136	25012
1999-04-21	15510	15550	15490	15500	11142	25624
1999-04-22	15580	15600	15540	15600	6240	26682
1999-04-23	15600	15740	15510	15650	12314	26122
1999-04-26	15550	15590	15490	15500	7410	25780
1999-04-27	15540	15560	15440	15450	8312	25852
1999-04-28	15540	15600	15530	15600	7788	25704
1999-04-29	15550	15640	15530	15600	3646	25818
1999-04-30	15680	15870	15680	15850	16222	25352
1999-05-04	15950	15950	15850	15850	4196	24996
1999-05-05	15850	15850	15760	15850	3030	23918
1999-05-06	15800	15840	15740	15840	3210	23100
1999-05-07	15900	16000	15870	15920	8276	23436
1999-05-10	15920	15970	15880	15910	4012	22354
1999-05-11	15870	15880	15840	15850	2614	21350
1999-05-12	16080	16080	15950	16050	5576	21130
1999-05-13	15920	15950	15860	15900	3500	19624
1999-05-14	15950	15990	15950	15970	3406	19082
1999-05-17	16200	16210	16160	16180	9904	35216
1999-05-18	16110	16150	16090	16110	6602	35662
1999-05-19	16050	16050	15930	15930	13382	36684
1999-05-20	15760	15760	15590	15620	20742	34118
1999-05-21	15510	15610	15480	15600	12242	34352
1999-05-24	15450	15460	15390	15430	11600	31216
1999-05-25	15460	15550	15460	15550	7134	31174
1999-05-26	15550	15570	15460	15550	3184	30670
1999-05-27	15420	15440	15330	15330	11336	27838
1999-05-28	14920	14920	14920	14920	2414	25440
1999-05-31	14820	14820	14630	14750	8632	24698
1999-06-01	14740	14800	14660	14670	3780	23990
1999-06-02	14840	14890	14820	14870	4776	23494
1999-06-03	14750	14750	14550	14570	8906	21862
1999-06-04	14680	14740	14630	14730	4832	23138
1999-06-07	14560	14650	14530	14640	3866	22928
1999-06-08	14730	14760	14690	14690	1096	22824
1999-06-09	14850	14850	14800	14840	2664	21292
1999-06-10	14850	14880	14810	14870	2080	20678
1999-06-11	14870	14870	14820	14830	3780	19380
1999-06-14	14890	14980	14890	14980	2828	18632
