"Index","high","low","close","bid","ask","volume"
2012-02-01 14:17:59,2494.8,2446.2,2450.4,2450.4,2450.6,44812
2012-02-01 14:18:59,2494.8,2446.2,2451,2451,2451.2,44804
2012-02-01 14:19:54,2494.8,2446.2,2450.2,2450.2,2450.4,44846
2012-02-01 14:21:59,2494.8,2446.2,2451.8,2451.6,2451.8,44726
2012-02-01 14:22:59,2494.8,2446.2,2451,2451,2451.2,44769
2012-02-01 14:23:59,2494.8,2446.2,2450.8,2450.6,2450.8,44874
2012-02-01 14:24:59,2494.8,2446.2,2447.2,2447.2,2447.4,44971
2012-02-01 14:25:59,2494.8,2442.8,2444.2,2444,2444.4,44976
2012-02-01 14:26:59,2494.8,2438.8,2440.2,2440,2440.2,44937
2012-02-01 14:27:59,2494.8,2438.6,2439.2,2439,2439.2,45094
2012-02-01 14:28:59,2494.8,2438.4,2439.6,2439.4,2439.6,45119
2012-02-01 14:29:59,2494.8,2435.4,2436.4,2436.4,2436.8,45291
2012-02-01 14:30:59,2494.8,2435.2,2439,2438.8,2439,45271
2012-02-01 14:31:59,2494.8,2435.2,2439.4,2439.4,2439.6,45198
2012-02-01 14:32:59,2494.8,2435.2,2440,2439.8,2440,45278
2012-02-01 14:33:59,2494.8,2435.2,2439.4,2439.2,2439.4,45343
2012-02-01 14:34:59,2494.8,2435.2,2437.8,2437.8,2438,45375
2012-02-01 14:35:59,2494.8,2435.2,2439.4,2439,2439.4,45401
2012-02-01 14:36:59,2494.8,2435.2,2436.6,2436.4,2436.6,45388
2012-02-01 14:37:59,2494.8,2435.2,2438,2437.8,2438,45306
2012-02-01 14:38:59,2494.8,2433,2433.4,2433.4,2433.6,45058
2012-02-01 14:39:59,2494.8,2428.4,2429.4,2429.4,2429.8,45115
2012-02-01 14:40:59,2494.8,2428.4,2431.8,2431.6,2431.8,44776
2012-02-01 14:41:59,2494.8,2428.4,2431.4,2431.2,2431.4,44728
2012-02-01 14:42:59,2494.8,2428.4,2430.2,2429.8,2430,44955
2012-02-01 14:43:59,2494.8,2428.4,2432.6,2432.4,2432.6,45122
2012-02-01 14:44:59,2494.8,2428.4,2433.2,2433,2433.4,45151
2012-02-01 14:45:59,2494.8,2428.4,2433.4,2433.2,2433.6,45075
2012-02-01 14:46:59,2494.8,2428.4,2433.8,2433.6,2433.8,45000
2012-02-01 14:47:59,2494.8,2428.4,2432.4,2432.4,2432.6,44997
2012-02-01 14:48:59,2494.8,2428.4,2433,2433,2433.2,45046
2012-02-01 14:49:59,2494.8,2428.4,2433.2,2433.2,2433.6,44908
2012-02-01 14:50:59,2494.8,2428.4,2433.2,2433,2433.4,44755
2012-02-01 14:51:59,2494.8,2428.4,2433.4,2433.2,2433.4,44599
2012-02-01 14:52:59,2494.8,2428.4,2435,2434.8,2435,44327
2012-02-01 14:53:59,2494.8,2428.4,2434.8,2434.6,2434.8,44094
2012-02-01 14:54:59,2494.8,2428.4,2436,2435.8,2436,43899
2012-02-01 14:55:59,2494.8,2428.4,2437,2436.8,2437.2,43559
2012-02-01 14:56:59,2494.8,2428.4,2436,2436.2,2436.6,43366
2012-02-01 14:57:59,2494.8,2428.4,2436.8,2436.6,2436.8,43151
2012-02-01 14:58:59,2494.8,2428.4,2437.4,2437.4,2437.6,43089
2012-02-01 14:59:59,2494.8,2428.4,2439.8,2438.8,2439.6,42737
2012-02-01 15:00:59,2494.8,2428.4,2438,2438,2438.4,42480
2012-02-01 15:01:59,2494.8,2428.4,2438.4,2438.4,2438.6,42397
2012-02-01 15:02:59,2494.8,2428.4,2438.2,2438.2,2438.4,42230
2012-02-01 15:03:59,2494.8,2428.4,2438.2,2438.2,2438.4,42128
